 ID,PARAM,dateTime,La grande-1,SYM
03DF001,1,2035/09/16,2440,E
03DF001,1,2035/09/17,2440,E
03DF001,1,2035/09/18,2440,E
03DF001,1,2035/09/19,2440,E
03DF001,1,2035/09/20,2440,E
03DF001,1,2035/09/21,2410,E
03DF001,1,2035/09/22,2400,E
03DF001,1,2035/09/23,2380,E
03DF001,1,2035/09/24,2360,E
03DF001,1,2035/09/25,2350,E
03DF001,1,2035/09/26,2340,E
03DF001,1,2035/09/27,2340,E
03DF001,1,2035/09/28,2330,E
03DF001,1,2035/09/29,2320,E
03DF001,1,2035/09/30,2290,E
03DF001,1,2035/10/01,2210,
03DF001,1,2035/10/02,2170,
03DF001,1,2035/10/03,2150,
03DF001,1,2035/10/04,2100,
03DF001,1,2035/10/05,2060,
03DF001,1,2035/10/06,2030,
03DF001,1,2035/10/07,2000,
03DF001,1,2035/10/08,1960,
03DF001,1,2035/10/09,1940,
03DF001,1,2035/10/10,1930,
03DF001,1,2035/10/11,1940,
03DF001,1,2035/10/12,1940,
03DF001,1,2035/10/13,1970,
03DF001,1,2035/10/14,2000,
03DF001,1,2035/10/15,2010,
03DF001,1,2035/10/16,2010,
03DF001,1,2035/10/17,2010,
03DF001,1,2035/10/18,2000,
03DF001,1,2035/10/19,1980,
03DF001,1,2035/10/20,1960,
03DF001,1,2035/10/21,1940,
03DF001,1,2035/10/22,1940,
03DF001,1,2035/10/23,1870,E
03DF001,1,2035/10/24,1830,E
03DF001,1,2035/10/25,1830,E
03DF001,1,2035/10/26,1830,E
03DF001,1,2035/10/27,1860,E
03DF001,1,2035/10/28,1870,E
03DF001,1,2035/10/29,1870,E
03DF001,1,2035/10/30,1850,E
03DF001,1,2035/10/31,1850,E
03DF001,1,2035/11/01,1840,E
03DF001,1,2035/11/02,1850,E
03DF001,1,2035/11/03,1860,E
03DF001,1,2035/11/04,1880,E
03DF001,1,2035/11/05,1890,E
03DF001,1,2035/11/06,1900,E
03DF001,1,2035/11/07,1920,E
03DF001,1,2035/11/08,1980,E
03DF001,1,2035/11/09,1990,E
03DF001,1,2035/11/10,2000,E
03DF001,1,2035/11/11,2030,E
03DF001,1,2035/11/12,2060,E
03DF001,1,2035/11/13,2110,E
03DF001,1,2035/11/14,2130,E
03DF001,1,2035/11/15,2190,E
03DF001,1,2035/11/16,2200,E
03DF001,1,2035/11/17,2190,E
03DF001,1,2035/11/18,2200,E
03DF001,1,2035/11/19,2200,E
03DF001,1,2035/11/20,2220,E
03DF001,1,2035/11/21,2200,E
03DF001,1,2035/11/22,2120,E
03DF001,1,2035/11/23,2140,E
03DF001,1,2035/11/24,2180,E
03DF001,1,2035/11/25,2350,E
03DF001,1,2035/11/26,2410,E
03DF001,1,2035/11/27,2470,E
03DF001,1,2035/11/28,2480,E
03DF001,1,2035/11/29,2490,E
03DF001,1,2035/11/30,2480,E
03DF001,1,2035/12/01,2480,E
03DF001,1,2035/12/02,2470,E
03DF001,1,2035/12/03,2470,E
03DF001,1,2035/12/04,2520,E
03DF001,1,2035/12/05,2500,E
03DF001,1,2035/12/06,2460,E
03DF001,1,2035/12/07,2420,E
03DF001,1,2035/12/08,2400,E
03DF001,1,2035/12/09,2370,E
03DF001,1,2035/12/10,2330,E
03DF001,1,2035/12/11,2270,B
03DF001,1,2035/12/12,2180,B
03DF001,1,2035/12/13,2130,B
03DF001,1,2035/12/14,2100,B
03DF001,1,2035/12/15,2050,B
03DF001,1,2035/12/16,2010,B
03DF001,1,2035/12/17,1970,B
03DF001,1,2035/12/18,1930,B
03DF001,1,2035/12/19,1900,B
03DF001,1,2035/12/20,1860,B
03DF001,1,2035/12/21,1800,B
03DF001,1,2035/12/22,1770,B
03DF001,1,2035/12/23,1740,B
03DF001,1,2035/12/24,1700,B
03DF001,1,2035/12/25,1670,B
03DF001,1,2035/12/26,1640,B
03DF001,1,2035/12/27,1610,B
03DF001,1,2035/12/28,1580,B
03DF001,1,2035/12/29,1550,B
03DF001,1,2035/12/30,1530,B
03DF001,1,2035/12/31,1490,B
03DF001,1,2050/01/01,629,B
03DF001,1,2050/01/02,623,B
03DF001,1,2050/01/03,620,B
03DF001,1,2050/01/04,609,B
03DF001,1,2050/01/05,612,B
03DF001,1,2050/01/06,609,B
03DF001,1,2050/01/07,603,B
03DF001,1,2050/01/08,597,B
03DF001,1,2050/01/09,595,B
03DF001,1,2050/01/10,592,B
03DF001,1,2050/01/11,589,B
03DF001,1,2050/01/12,586,B
03DF001,1,2050/01/13,580,B
03DF001,1,2050/01/14,578,B
03DF001,1,2050/01/15,569,B
03DF001,1,2050/01/16,566,B
03DF001,1,2050/01/17,564,B
