Beauharnois,La grande-1,Rene-Levesque,Jean-Lesage,Outardes-3,Bersimis-2,Carillon,Outardes-2,Peribonka,Laforge-2,Trenche,La tuque,Beaumont,Romaine-1,McCormick,Rocher-de-Grand-Mere,Paugan,Shawinigan-2,Shawinigan-3,Manic-1,Rapides-des-Iles,Chelsea,Sarcelle,La Gabelle,Premiere-Chute,Les Cedres,Rapides-des-Quinze,Rapides-Farmer,Chute-des-Chats,Rapide-des-Coeurs,Chute-Allard,Bryson,Rapide-2,Riviere-des-Prairies,Chute-Hemmings,Sept-Chutes,Drummondville,Chute-Bell,Mitis-1,Mitis-2,Gull Island,dateTime
8640,1930.0,1020,1020,389,229.0,473.0,389,9.795,97.0,239.0,239.0,239.0,88.5,1020,239.0,378.2,239.0,239.0,1020,473.0,378.2,857.0,239.0,473.0,8640,473.0,378.2,473.0,239.0,239.0,473.0,473.0,1365,78.4,32.46,78.4,27.24,33.8,33.8,1290,2025-12-18 01:00:00+00:00
8640,1930.0,1020,1020,389,229.0,473.0,389,9.795,97.0,239.0,239.0,239.0,88.5,1020,239.0,378.2,239.0,239.0,1020,473.0,378.2,857.0,239.0,473.0,8640,473.0,378.2,473.0,239.0,239.0,473.0,473.0,1365,78.4,32.46,78.4,27.24,33.8,33.8,1290,2025-12-18 02:00:00+00:00
8640,1930.0,1020,1020,389,229.0,473.0,389,9.795,97.0,239.0,239.0,239.0,88.5,1020,239.0,378.2,239.0,239.0,1020,473.0,378.2,857.0,239.0,473.0,8640,473.0,378.2,473.0,239.0,239.0,473.0,473.0,1365,78.4,32.46,78.4,27.24,33.8,33.8,1290,2025-12-18 03:00:00+00:00
8640,1930.0,1020,1020,389,229.0,473.0,389,9.795,97.0,239.0,239.0,239.0,88.5,1020,239.0,378.2,239.0,239.0,1020,473.0,378.2,857.0,239.0,473.0,8640,473.0,378.2,473.0,239.0,239.0,473.0,473.0,1365,78.4,32.46,78.4,27.24,33.8,33.8,1290,2025-12-18 04:00:00+00:00
8640,1930.0,1020,1020,389,229.0,473.0,389,9.795,97.0,239.0,239.0,239.0,88.5,1020,239.0,378.2,239.0,239.0,1020,473.0,378.2,857.0,239.0,473.0,8640,473.0,378.2,473.0,239.0,239.0,473.0,473.0,1365,78.4,32.46,78.4,27.24,33.8,33.8,1290,2025-12-18 05:00:00+00:00
8640,1930.0,1020,1020,389,229.0,473.0,389,9.795,97.0,239.0,239.0,239.0,88.5,1020,239.0,378.2,239.0,239.0,1020,473.0,378.2,857.0,239.0,473.0,8640,473.0,378.2,473.0,239.0,239.0,473.0,473.0,1365,78.4,32.46,78.4,27.24,33.8,33.8,1290,2025-12-18 06:00:00+00:00
8640,1930.0,1020,1020,389,229.0,473.0,389,9.795,97.0,239.0,239.0,239.0,88.5,1020,239.0,378.2,239.0,239.0,1020,473.0,378.2,857.0,239.0,473.0,8640,473.0,378.2,473.0,239.0,239.0,473.0,473.0,1365,78.4,32.46,78.4,27.24,33.8,33.8,1290,2025-12-18 07:00:00+00:00
8640,1930.0,1020,1020,389,229.0,473.0,389,9.795,97.0,239.0,239.0,239.0,88.5,1020,239.0,378.2,239.0,239.0,1020,473.0,378.2,857.0,239.0,473.0,8640,473.0,378.2,473.0,239.0,239.0,473.0,473.0,1365,78.4,32.46,78.4,27.24,33.8,33.8,1290,2025-12-18 08:00:00+00:00
8640,1930.0,1020,1020,389,229.0,473.0,389,9.795,97.0,239.0,239.0,239.0,88.5,1020,239.0,378.2,239.0,239.0,1020,473.0,378.2,857.0,239.0,473.0,8640,473.0,378.2,473.0,239.0,239.0,473.0,473.0,1365,78.4,32.46,78.4,27.24,33.8,33.8,1290,2025-12-18 09:00:00+00:00
8640,1930.0,1020,1020,389,229.0,473.0,389,9.795,97.0,239.0,239.0,239.0,88.5,1020,239.0,378.2,239.0,239.0,1020,473.0,378.2,857.0,239.0,473.0,8640,473.0,378.2,473.0,239.0,239.0,473.0,473.0,1365,78.4,32.46,78.4,27.24,33.8,33.8,1290,2025-12-18 10:00:00+00:00
8640,1930.0,1020,1020,389,229.0,473.0,389,9.795,97.0,239.0,239.0,239.0,88.5,1020,239.0,378.2,239.0,239.0,1020,473.0,378.2,857.0,239.0,473.0,8640,473.0,378.2,473.0,239.0,239.0,473.0,473.0,1365,78.4,32.46,78.4,27.24,33.8,33.8,1290,2025-12-18 11:00:00+00:00
8640,1930.0,1020,1020,389,229.0,473.0,389,9.795,97.0,239.0,239.0,239.0,88.5,1020,239.0,378.2,239.0,239.0,1020,473.0,378.2,857.0,239.0,473.0,8640,473.0,378.2,473.0,239.0,239.0,473.0,473.0,1365,78.4,32.46,78.4,27.24,33.8,33.8,1290,2025-12-18 12:00:00+00:00
